key,title,keywords,abstract_preview,suggested_category,notes
SwaTim_2024,Time to Rethink Intended Learning Outcomes for Sustainable Development? A Qualitative Exploration and Reflection of Course Syllabuses in Swedish Undergraduate Physiotherapy Education,Higher education; sustainable development; syllabuses undergraduate physiotherapy education; HEALTH; COMPETENCES,OBJECTIVE Several calls to action for the implementation of education for sustainable development in health profession education have been put forth during the last few years. The aim was therefore to explore and describe sustainability-focused intended learning outcomes (SD-ILOs) in curricula of un,,
IseZuk_2016,ZukunftGestalten@HM—Future City. Transdisciplinary Approach Combining Higher Education for Sustainable Development and Designing the Future of the City of Munich in an Urban Real Lab Case,City of munich; Competencies for sustainable development; Education for sustainable development (ESD); Higher education; Learning; Munich University of Applied Sciences (MUAS); Real laboratory (Real Lab); Transdisciplinarity; Urban planning; ZukunftGestalten@HM,"This contribution describes the innovative course format â€œZukunftGestalten@HMâ€”Future Cityâ€ at the Munich University of Applied Sciences (MUAS), including its unique features from a higher educational perspective for sustainable development (ESD). The features that make this innovative course f",,
TusSus_2026,Sustainable Development in Action: International University of Business Agriculture and Technology’s Path to a Greener Future,Bangladesh; Higher Education; IUBAT; SDGs; UI GreenMetric,The purpose of this chapter is to outline International University of Business Agriculture and Technology’s (IUBAT) efforts and accomplishments in aligning with the United Nation Sustainable Development Goals (SDGs) and UI GreenMetric indicators. The study underscores the university’s groundbreaking,,
UreThe_2021,"The Change Project Approach: A response for reorienting teacher education to address Education 2030 in southern Africa – The case of Midlands State University, Zimbabwe",Change project approach; Education 2030; Education for Sustainable Development; social transformation,"The change project approach could be applied to enhance teacher education for the purpose of confronting 21st Century challenges through education (Education 2030). The challenge for teacher education institutions is to prepare future teachers with the socio-ecological knowledge, skills, attitudes a",,
MifApp_2023,Application of Education for Sustainable Development (ESD) as a Route to Overcoming Barriers in Designing Circular Economy (CE) Educational Material,Circular economy; Education for sustainable development; Higher education; Curricula; Economic and social effects; Sustainable development; Business and societies; Business schools; Circular economy; Education for sustainable development; Educational materials; Educational program; High educations; Higher education institutions; Pedagogical approach; Through the lens; Electrostatic devices,Designing Circular Economy (CE) educational programmes to a diverse group of learners presents challenges and opportunities. This paper shares insights from the development of a CE educational programme for disadvantaged learners through the BLUEPRINT project. It explores the pivotal role Business S,,
HajEdu_2020,Education for Sustainable Development-The Case of Massive Open Online Courses,education for sustainable development; massive open online courses; MOOCs; sustainable development goals; course description; MOOCS,"Education for Sustainable Development (ESD) is a key instrument in transforming societies towards sustainable development, which can play a crucial role in the achievement of Agenda 2030 Sustainable Development Goals. The main purpose of this paper is to explore the current status and problems of im",,
SauEdu_2022,Education for sustainable development: Insights from Canadian and South African universities,comparative studies; document analysis; education for sustainable development; higher education; sustainability; UN’s 2030 Agenda,"Universities can play a key role in contributing to a sustainable future for our planet and its inhabitants. In times of constant changes, there is a growing urgency to reflect on the vision of universities as well as their respective practices and projects that can promote the creation of sustainab",,
ConPla_2019,Place-based education: An approach for a sustainable curriculum in higher education,Education for sustainable development; Educational innovation; Higher Education; Place-Based Education; Place-Based Learning; Teacher training,"INTRODUCTION. Several authors defend the positive correlation between an educational approach constructed from the space-context of the subject and the formation of students in the principles and values of sustainability, a premise that the Place Based Education (PBE) endorses. This article presents",,
BarInt_2020,Integrating Core Sustainability Meta-Competencies and SDGs Across the Silos in Curriculum and Professional Development,Assessment; Ethic of care; Pedagogy; SDGs; Sustainability competencies,"Debra Rowe, president of the U.S. Partnership for Education for Sustainable Development has challenged us to go beyond educating students with conceptual knowledge, rather to develop capacities to become agents for systemic change. This means integrating values, attitudes, behavior, and ethics into ",,
CaeSus_2020_315,Sustainability assessment in higher education institutions,Commitments; Education for sustainable development; Higher education institutions; Practices; assessment method; governance approach; higher education; institutional framework; research work; strategic approach; sustainability; teaching,"This Special Issue ""Sustainability Assessment in Higher Education Institutions"" provides peer-reviewed research from several geographies and institutions and covering various topics with the broad objective of achieving an assessment of the effectiveness and impact of different implementation dimens",,
DanHig_2025,Higher Education in BRICS Countries Committed to the Sustainable Development Goals: Community Engagement and Research Practices,BRICS; community engagement; education for sustainability; research practices; sustainability; sustainable development; Sustainable Development Goals,"The Sustainable Development Goals (SDGs) are a set of 17 social, economic, and environmental goals to be achieved by the year 2030. World leaders have committed to the 17 SDGs because there is an urgent need to shift the world onto a more sustainable path. Education for sustainable development (ESD)",,
TırSus_2026,Sustainable Endeavors at a Turkish University: A UI GreenMetric Exploration,Environmental sustainability; Sustainable campus; Sustainable development; UI GreenMetric; University,"The university accepts that true sustainability in the field of sustainability in higher education is holistic. With this holistic approach, initiatives were taken in community participation, research, and inter-institutional collaborations. Integral to its sustainable journey is its association wit",,
WilA u_2018,A university wide approach to embedding the sustainable development goals in the curriculum—a case study from the nottingham trent university’s Green academy,Curriculum development; ESD; Higher education; Sustainability; Sustainable development goals,"Since 2015, governments, businesses and civil society, together with the United Nations have been encouraged to work towards seventeen Sustainable Development Goals (SDGs) as part of the 2030 Agenda for Sustainable Development (United Nations, 2017). In this context, Higher Education Institutions (H",,
BomDif_2025,Different Ways to Develop Sustainability Competences—Experiences from the University of Gothenburg,Education for sustainable development; Educators’ competences; ESD; Forums; Labelling; Mapping,"One of the three commitments in the Vision 2030 of the University of Gothenburg, Sweden, is to work for a sustainable and knowledge-based societal development: “The University will step up its contribution towards the sustainable-development goals articulated by the United Nations’ General Assembly ",,
LozExp_2025,Exploring green pedagogy for eco-centric praxis-based learning in higher education,Ecological consciousness; education for sustainable development; green pedagogy; higher education; holistic education; systems thinking,"In the wake of climate change affecting all aspects of global sustainable development, the imperative for greening education as a tool to help address its impacts has become increasingly pressing. Facing this challenge requires global adoption of more sustainable practices, coordination of efforts, ",,
HanImp_2025,Implementation of Vocational Education and Training for Sustainable Development Through Cooperation Between Research and Practice,Design based research; ESD; Research and practice; VETSD; Vocational education and training,"The 17 Sustainable Development Goals (SDGs) provide a framework for sustainable development, yet companies encounter significant challenges in their implementation. Vocational education and training for sustainable development (VETSD) is crucial in equipping individuals and organizations to address ",,
