id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
375	Schmidberger (2024)	-1.1769	2.3598	7	23	25	2	2024	<b>Applying Design Thinking to Support Education for Sustainable Development in Higher Education</b><br><i>International Conference on Higher Education Advances</i><br>Year: 2024<br>Citations: 2	https://doi.org/10.4995/head24.2024.17073
376	Khalaim (2021)	0.4006	2.5579	5	74	83	0	2021	<b>Climate change education in Ukrainian universities: Addressing transformative education for sustainable development</b><br><i>World Sustainability Series</i><br>Year: 2021<br>Citations: 0	https://doi.org/10.1007/978-3-030-63399-8_25
377	Sarkar (2025)	-1.3334	2.1498	7	155	221	1	2025	<b>Embedding SDGs and experiential learning into marketing education: the lift framework</b><br><i>Journal of Marketing Theory and Practice</i><br>Year: 2025<br>Citations: 1	https://doi.org/10.1080/10696679.2025.2551195
378	Moggi (2025)	-1.2454	2.148	7	216	460	0	2025	<b>Enhancing Sustainable Development Literacy in Higher Education: Insights from Accounting and Pedagogy Courses</b><br><i>World Sustainability Series</i><br>Year: 2025<br>Citations: 0	https://doi.org/10.1007/978-3-031-86985-3_25
379	Langdown (2016)	-2.5719	-1.0197	11	14	14	0	2016	<b>From Individuation to Autonomy: Enabling Fashion Design Students to See a Bigger Picture</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 0	https://doi.org/10.1007/978-3-319-32928-4_22
380	Hemmer (2021)	-2.3688	-1.0741	11	17	19	1	2021	<b>Sustainability concept (whole-institution approach) of the catholic university of eichstätt-ingolstadt (Germany)</b><br><i>World Sustainability Series</i><br>Year: 2021<br>Citations: 1	https://doi.org/10.1007/978-3-030-63399-8_20
381	Balanay (2016)	-2.1719	-0.8697	11	53	56	9	2016	<b>Teaching Education for Sustainable Development at University Level: A Case Study from the Philippines</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 9	https://doi.org/10.1007/978-3-319-32928-4_11
382	Husenbeth (2021)	-1.575	2.2131	7	5	5	0	2021	<b>“The value of mixed teaching methods in the context of the sustainable development goals—An evaluation of a compulsory course using the example of a large group of students”</b><br><i>World Sustainability Series</i><br>Year: 2021<br>Citations: 0	https://doi.org/10.1007/978-3-030-63399-8_23
383	Fiselier (2018)	-2.211	-0.8443	11	50	64	12	2018	<b>A critical evaluation of the representation of the QAA and hea guidance on esd in public web environments of UK higher education institutions</b><br><i>World Sustainability Series</i><br>Year: 2018<br>Citations: 12	https://doi.org/10.1007/978-3-319-70281-0_14
384	Denby (2016)	-1.2641	2.265	7	127	148	12	2016	<b>An Approach to Embedding Sustainability into Undergraduate Curriculum: Macquarie University, Australia Case Study</b><br><i>World Sustainability Series</i><br>Year: 2016<br>Citations: 12	https://doi.org/10.1007/978-3-319-32928-4_2
385	Lubis (2024)	-0.4042	2.2819	6	27	27	1	2024	<b>Creating an Engaging Virtual Classroom for Learning SDG 11: A Case Study at Master in Management Program, Telkom University, Indonesia</b><br><i>The Palgrave Handbook of Sustainable Digitalization for Business, Industry, and Society</i><br>Year: 2024<br>Citations: 1	https://doi.org/10.1007/978-3-031-58795-5_10
