18	45	1
18	48	1
18	54	1
18	56	1
18	58	10
18	61	1
18	63	1
18	66	2
18	68	2
18	70	1
18	72	1
18	80	1
18	85	1
18	101	1
18	102	2
18	113	2
18	114	2
19	20	5
19	22	11
19	23	5
19	24	29
19	25	20
19	26	9
19	27	2
19	29	2
19	30	7
19	31	1
19	32	7
19	33	6
19	34	4
19	36	8
19	37	9
19	38	7
19	39	1
19	40	10
19	41	6
19	42	2
19	43	2
19	44	7
19	46	3
19	48	3
19	52	1
19	53	3
19	54	3
19	55	4
19	56	9
19	58	55
19	60	2
19	62	4
19	63	1
19	65	2
19	67	2
19	68	10
19	70	4
19	71	4
19	73	1
19	75	1
19	76	3
19	77	4
19	78	2
19	80	10
19	81	1
19	82	2
19	83	3
19	84	2
19	85	3
19	87	3
19	89	5
19	93	2
19	94	1
19	99	3
19	101	5
19	102	1
19	103	2
19	106	6
19	108	6
19	110	1
19	111	1
19	112	3
19	113	6
19	114	3
19	115	1
19	117	2
19	118	3
20	22	2
20	23	3
20	24	11
20	25	7
20	26	4
20	30	2
20	33	1
20	34	1
20	36	2
20	37	1
20	38	2
20	39	1
20	40	3
20	41	2
20	44	2
20	48	1
20	55	1
20	56	2
20	58	12
20	60	1
20	63	1
20	65	1
20	68	2
20	71	1
20	75	1
20	76	1
20	77	1
20	80	1
20	83	1
20	84	1
20	85	1
20	87	1
20	88	1
20	89	2
20	100	1
20	101	2
20	105	1
20	107	1
20	108	1
20	113	4
20	114	2
21	24	2
21	28	1
21	58	1
21	85	1
21	116	2
22	24	7
22	25	5
22	26	7
22	27	1
22	28	2
22	30	1
22	31	1
22	35	1
22	36	3
22	37	5
22	38	4
22	40	2
22	41	1
22	42	2
22	43	2
22	48	1
22	51	1
22	53	1
22	54	1
22	55	1
22	56	2
22	57	1
22	58	22
22	59	1
22	62	2
22	66	1
22	68	1
22	72	1
22	73	1
22	76	1
22	80	2
22	81	1
22	83	2
22	89	1
22	91	1
22	101	1
22	106	1
22	108	3
22	112	2
22	113	2
22	114	2
22	117	2
22	118	4
23	24	5
23	25	7
23	26	4
23	29	1
23	30	4
23	33	4
23	34	2
23	36	4
23	37	2
23	38	3
23	39	1
23	40	2
23	41	1
23	44	4
23	46	2
23	47	1
23	48	1
23	55	2
23	56	3
23	58	8
23	60	1
23	61	3
23	65	1
23	67	2
23	68	4
23	70	3
23	71	2
23	80	3
23	82	1
23	83	2
23	85	1
23	87	3
23	89	4
23	93	1
23	100	1
23	101	2
23	103	1
23	104	1
23	106	2
23	108	3
23	112	1
23	113	3
23	114	2
24	25	17
24	26	9
24	28	1
24	29	1
24	30	5
24	31	1
24	32	5
24	33	8
24	34	4
24	35	2
24	36	10
24	37	4
24	38	8
24	39	1
24	40	9
24	41	4
24	42	2
24	43	3
24	44	11
24	46	2
24	47	2
24	48	4
24	52	1
24	53	2
24	55	3
24	56	6
24	57	1
24	58	76
24	60	2
24	61	3
24	62	4
24	63	3
24	65	1
24	66	2
24	67	2
24	68	8
24	69	1
24	70	4
24	71	3
24	72	4
24	73	2
24	75	1
24	76	2
24	77	9
24	78	1
24	80	9
24	81	1
24	82	1
24	83	2
24	84	2
24	85	2
24	87	2
24	89	7
24	93	2
24	94	1
24	95	1
24	96	1
24	98	3
24	99	3
24	100	2
24	101	4
24	103	2
24	104	2
24	106	4
24	107	5
24	108	6
24	112	3
24	113	5
24	114	4
24	115	1
24	117	3
24	118	4
25	26	11
25	28	1
25	29	1
25	30	4
25	32	5
25	33	8
25	34	2
25	36	10
25	37	7
25	38	9
25	39	2
25	40	11
25	41	5
25	42	2
25	43	1
25	44	8
25	45	3
25	46	3
25	48	5
25	51	1
25	52	2
25	54	2
25	55	4
25	56	5
25	58	47
25	60	1
25	61	1
25	62	2
25	63	1
25	65	2
25	66	1
25	67	1
25	68	9
25	70	6
25	71	4
25	75	2
25	76	4
25	77	4
25	78	2
25	80	11
25	82	2
25	83	2
25	84	1
25	85	3
25	87	4
25	89	7
25	91	1
25	93	2
25	94	1
25	97	1
25	98	2
25	99	1
25	100	2
25	101	3
25	102	3
25	103	2
25	104	1
25	106	5
25	108	7
25	111	1
25	112	3
25	113	5
25	114	7
25	117	2
26	28	1
26	30	4
26	32	1
26	33	3
26	34	1
26	36	3
26	37	1
26	38	4
26	39	1
26	40	6
26	44	3
26	48	2
26	55	1
26	56	4
26	57	1
26	58	16
26	60	2
26	62	1
26	63	3
26	65	1
26	66	1
26	67	1
26	68	3
26	71	1
26	76	2
26	77	2
26	80	1
26	85	2
26	87	1
26	89	2
26	93	1
26	101	2
26	102	1
26	104	1
26	106	2
26	108	4
26	110	1
26	112	2
26	113	2
26	114	3
26	117	1
27	34	1
27	37	2
27	54	2
27	56	1
27	58	1
27	62	1
27	94	1
27	97	1
27	99	2
27	118	1
28	35	2
28	37	1
28	38	2
28	44	1
28	54	3
28	58	5
28	60	1
28	63	1
28	72	2
28	80	1
28	89	1
28	105	1
28	106	1
29	30	1
29	33	1
29	34	1
29	36	1
29	37	1
29	38	1
29	40	1
29	44	1
29	46	1
29	55	1
29	58	3
29	67	1
29	68	2
29	70	1
29	71	1
29	80	2
29	82	1
29	83	1
29	87	1
29	89	2
29	93	1
29	103	1
29	106	1
29	108	1
29	113	1
30	31	1
30	33	3
30	34	1
30	36	3
30	37	1
30	38	1
30	39	3
30	40	1
30	43	1
30	44	2
30	45	1
30	46	1
30	47	1
30	48	1
30	55	3
30	56	3
30	58	6
30	60	1
30	61	1
30	65	1
30	67	2
30	68	4
30	70	2
30	71	1
30	80	4
30	81	1
30	82	1
30	83	1
30	85	1
30	87	1
30	89	1
30	93	1
30	101	1
30	103	1
30	104	1
30	106	3
30	107	1
30	108	1
30	110	1
30	112	1
30	113	2
30	114	1
31	43	1
31	58	1
31	68	1
31	81	1
32	33	1
32	36	1
32	37	1
32	38	1
32	40	2
32	41	1
32	42	1
32	44	1
32	46	2
32	48	2
32	53	2
32	54	1
32	58	11
32	65	1
32	70	2
32	71	1
32	77	2
32	80	2
32	84	2
32	87	1
32	98	1
32	99	1
32	106	1
32	107	1
32	108	1
32	113	2
32	114	2
33	34	2
33	36	5
33	37	1
33	38	3
33	39	1
33	40	5
33	43	1
33	44	5
33	46	2
33	47	1
33	48	1
33	54	1
33	55	1
33	56	2
33	58	11
33	61	1
33	67	1
33	68	3
33	70	5
33	71	3
33	73	1
33	75	1
33	77	3
33	80	5
33	82	1
33	83	3
33	84	1
33	87	2
33	89	3
33	93	1
33	99	1
33	101	1
33	103	1
33	104	1
33	106	3
33	108	2
33	112	3
33	113	2
33	114	2
33	115	1
34	36	1
34	37	1
34	38	1
34	40	4
34	42	1
34	44	1
34	46	1
34	55	1
34	56	2
34	58	8
34	62	1
34	67	1
34	68	2
