id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
499	Journal of Experimental Social Psychology	1.7679	1.6664	6	7	14	2			
500	International Journal of Innovation and Regional Development	-0.8587	2.4207	13	5	10	2			
501	Advances in experimental social psychology	1.7263	1.7147	6	11	26	3			
502	United Nations eBooks	-0.7779	2.4741	12	9	21	4			
503	Journal for Multicultural Education	-0.9385	2.0754	13	3	6	2			
504	Procedia Computer Science	1.7437	1.9161	6	20	55	5			
505	Learning and Individual Differences	2.014	1.4745	5	0	0	2			
506	Revista eureka sobre enseñanza y divulgación de las ciencias	-2.6831	0.1623	20	20	64	8			
507	Multilingual Matters (Channel View Publications)	-0.6403	2.4614	12	31	100	9			
508	Journal of college student development	-1.9909	1.0645	17	13	28	4			
509	Transactions	2.5906	-0.4115	1	1	2	2			
510	LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)	-2.5648	0.1831	20	21	69	10			
511	Ambiente & sociedade	2.8877	0.2831	2	6	12	2			
512	Structural Survey	-0.4688	2.3757	12	12	26	3			
513	Psychology and Marketing	2.1855	0.5276	2	4	8	2			
514	Social Epistemology	-1.1343	2.1113	13	4	8	2			
515	The Journal of Technology Transfer	-1.3337	2.504	13	2	4	2			
516	Lecture notes in computer science	2.6901	-0.0494	1	19	58	7			
517	Journal of Adventure Education & Outdoor Learning	1.6171	1.7969	6	20	49	5			
518	Strategic Management Journal	2.6509	0.2476	2	9	21	4			
519	The turkish online journal of educational technology	-0.8517	2.3497	13	8	19	3			
520	The Journal of Academic Librarianship	-1.0779	2.1227	13	7	15	3			
521	International Journal of Educational Research	-2.3233	1.2076	17	78	254	19			
522	Studies in Art Education	1.7392	1.6632	6	6	13	3			
523	Econstor (Econstor)	-1.0553	2.1129	13	6	13	3			
524	Small Group Research	-1.9343	1.4576	17	7	14	2			
525	Nature Reviews Earth & Environment	-0.8318	2.3867	13	3	6	2			
526	Journal of Education for Teaching International Research and Pedagogy	2.381	-0.0178	1	45	133	14			
527	Leadership & Organization Development Journal	-0.426	2.3221	12	5	10	2			
528	Adult Education	-1.1501	2.4505	13	3	6	2			
529	PRESENCE Virtual and Augmented Reality	2.375	-0.9097	37	0	0	2			
530	The Journal of General Education	-0.4886	2.2147	12	6	12	2			
531	Educational Research for Social Change	-0.7731	2.3846	13	3	7	3			
532	Analyses of Social Issues and Public Policy	-1.9812	1.0083	17	4	8	2			
533	Journal of Environmental Studies and Sciences	-0.6474	2.3737	12	40	145	15			
534	Trends in Ecology & Evolution	-1.1985	2.081	13	3	6	2			
535	Higher Education Studies	-0.9496	2.3069	13	22	64	7			
536	TechTrends	-0.9997	2.2459	13	18	57	7			
537	Journal of Science Teacher Education	1.5534	1.8607	6	15	31	3			
538	Social Science Research	-1.1626	2.3777	13	5	10	2			
539	Medicine and War	-2.3887	-0.1726	20	23	57	5			
540	Ecological Indicators	2.6494	0.3868	2	43	148	12			
541	Journal of the American Statistical Association	-0.8104	2.3852	13	4	8	2			
542	Greener Management International	-0.6205	2.1859	12	4	8	2			
543	Cogent Education	2.5133	0.4499	2	40	119	10			
544	International Journal of Adult Vocational Education and Technology	-1.9823	1.4932	17	3	6	2			
545	Societies	-1.004	2.4174	13	6	15	4			
546	VS Verlag für Sozialwissenschaften eBooks	-0.6599	2.4799	12	59	220	18			
547	uwf UmweltWirtschaftsForum	1.301	2.1028	7	0	0	2			
548	Scientific Reports	2.404	0.4251	2	42	125	12			
549	International Journal of Disability Development and Education	-1.1108	2.0933	13	3	6	2			
550	Journal of Graduate Medical Education	-0.7146	2.3959	13	2	4	2			
551	Teacher Development	-0.422	2.492	12	10	22	3			
552	Journal of Business Ethics	2.4707	0.3867	2	125	458	30			
