id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
233	validity	0.0396	2.8185	3	1	2	2	2025.0		
234	institutional framework	-1.484	-1.8829	6	5	10	3	2021.67		
235	college faculty	-0.0379	-2.6889	7	4	9	3	2024.0		
236	teacher attitudes	0.0207	-2.7635	7	3	6	2	2023.5		
237	benefits	1.8621	1.3941	2	1	2	2	2025.0		
238	strategic approach	-1.6164	-1.8556	6	8	16	3	2021.33		
239	earth (planet)	-2.6015	-0.1616	5	10	20	3	2023.33		
240	school	2.3421	-0.1559	1	2	4	4	2022.0		
241	technology	2.4134	-0.3748	1	1	2	3	2020.33		
242	entrepreneur	-1.421	-1.344	6	1	2	2	2025.0		
243	environment	-1.499	-1.5833	6	4	9	3	2021.67		
244	tourism	-2.052	-2.0651	6	3	6	3	2023.67		
245	pls-sem	2.6652	-0.0532	1	3	6	2	2024.0		
246	transdisciplinary	1.8781	1.8981	2	2	4	2	2020.0		
247	collaborative learning	1.4062	1.8617	2	1	2	3	2024.0		
248	outcomes	1.6229	2.002	2	1	3	3	2023.0		
249	context	-1.5698	-1.5125	6	4	8	4	2021.5		
250	latin america	-2.3476	0.2593	5	2	4	3	2020.0		
251	developing world	-2.3577	0.3155	5	2	4	2	2021.5		
252	responsible management education	-1.5467	-1.9981	6	5	10	2	2022.5		
253	abroad	-1.3747	-1.7777	6	1	2	2	2021.0		
254	whole institution approach (wia)	-0.135	2.2186	3	1	2	2	2025.0		
255	labelling	1.9885	-1.9851	8	1	2	2	2025.0		
256	mapping	1.5471	-1.5504	8	1	2	2	2025.0		
257	climate action	-2.1214	1.5079	4	4	9	5	2024.4		
258	perspective	1.8518	2.0045	2	2	4	2	2022.0		
259	research	-1.6742	-1.9944	6	3	6	3	2022.67		
260	global competence	1.6258	2.0895	2	1	2	2	2023.0		
261	internationalization	1.4768	2.0072	2	1	2	2	2023.0		
262	transformative learning	1.9178	1.8033	2	15	43	12	2022.67		
263	academic research	2.3357	-0.2954	1	5	11	3	2020.33		
264	wicked problems	2.6691	-0.0937	1	4	8	2	2021.5		
265	environmental design	-2.0583	-1.7571	6	3	6	2	2022.0		
266	learning experiences	-2.4916	-0.457	5	2	4	3	2022.67		
267	curriculum development	-2.4761	0.1511	5	7	24	9	2020.78		
268	sustainable architecture	-1.7403	-1.9987	6	2	4	2	2019.5		
269	design method	-2.115	-1.861	6	2	4	2	2021.5		
270	massive open online course	-2.6348	-0.2509	5	2	4	2	2024.0		
271	sustainability transition	2.0923	-0.0043	1	1	2	3	2020.0		
272	blended learning	1.6618	1.6585	2	4	10	4	2022.5		
273	online learning	-2.3874	-0.1759	5	4	9	3	2022.67		
274	moocs	1.4227	1.928	2	1	2	2	2021.0		
275	accounting education	2.058	1.8938	2	4	9	3	2025.67		
276	students perceptions	2.3101	-0.0665	1	3	7	3	2022.67		
277	teacher education	1.6105	1.6749	2	6	15	8	2022.0		
278	critical thinking	-2.813	0.1041	5	2	4	4	2023.0		
279	project-based learning	-2.3684	0.0831	5	12	26	6	2023.33		
280	sdg 13: climate action	2.3356	-0.4416	1	1	2	2	2024.5		
281	sustainability competences	1.9935	1.5762	2	2	4	3	2025.0		
282	environmental engineering	-2.7376	0.0844	5	4	8	2	2021.0		
283	consciousness	1.5802	2.085	2	1	2	2	2023.5		
284	research-based learning	1.9263	1.4136	2	1	2	2	2023.5		
285	unesco	1.6683	2.1051	2	1	2	3	2022.33		
286	experiential learning	2.3525	0.0888	1	11	31	15	2022.87		
287	service-learning	2.0822	1.5893	2	1	2	2	2024.5		
288	climate crisis	2.0492	1.7481	2	2	4	2	2022.0		
289	anxiety	2.2062	1.8656	2	1	2	2	2023.5		
290	staff	-2.7932	0.1583	5	3	6	2	2020.5		
291	college-students	2.7597	0.2594	1	2	4	2	2022.5		
292	interdisciplinary learning	-2.3089	0.1148	5	8	16	3	2021.0		
