id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
367	Central American Technological University	-1.4387	1.961	78	5	5	1	2025.0		
368	University of Bath	-1.5732	1.9657	78	5	5	1	2025.0		
369	University of Atacama	-1.6088	2.1049	78	5	5	1	2025.0		
370	Universidad de Valladolid	-1.5229	2.2197	78	5	5	2	2025.0		
371	Beaconhouse National University	-2.1378	-0.7044	122	2	2	1	2022.0		
372	University of Warwick	-1.9424	-1.4275	136	0	0	1	2025.0		
373	Australian National Botanic Gardens	-2.1483	-1.3746	137	1	1	1	2026.0		
374	University College Cork	-1.7069	-1.8093	137	1	1	1	2026.0		
375	Université Côte d'Azur	2.1059	1.0637	21	2	2	1	2023.0		
376	De Montfort University	2.059	1.0753	21	2	2	2	2023.5		
377	Universidad de Extremadura	-1.9315	-1.6739	138	0	0	1	2022.0		
378	Memorial University of Newfoundland	-1.8299	-1.7231	139	0	0	1	2024.0		
379	Texas A&M University – Commerce	-2.0071	-1.5316	140	1	1	1	2024.0		
380	University of Tennessee at Martin	-1.5656	-1.9664	140	1	1	1	2024.0		
381	Équipe de Recherche sur l’Utilisation des Données Individuelles en Lien avec la Théorie Économique	-1.9571	-1.5812	141	1	1	1	2025.0		
382	Université Gustave Eiffel	-1.5157	-2.016	141	1	1	1	2025.0		
383	Metropolitan University	-1.5949	-1.5973	142	3	3	1	2026.0		
384	Centre for Advanced Study	-1.435	-1.9371	142	3	3	1	2026.0		
385	Universidad Metropolitana	-1.7751	-2.0963	142	3	3	1	2026.0		
386	University of Oslo	-1.935	-1.7565	142	3	3	1	2026.0		
387	Zhetysu University named after Ilyas Zhansugurov	-1.853	-1.6762	143	1	1	1	2025.0		
388	University of Žilina	-1.4116	-2.1109	143	1	1	1	2025.0		
389	University of Melbourne	-1.799	-1.7214	144	1	1	1	2024.0		
390	Université Libre de Bruxelles	-1.3576	-2.1562	144	1	1	1	2024.0		
391	Halmstad University	-1.4329	-1.733	145	3	3	1	2025.0		
392	Université de Lyon	-1.2731	-2.0728	145	3	3	1	2025.0		
393	Université Claude Bernard Lyon 1	-1.6132	-2.232	145	3	3	1	2025.0		
394	Laboratoire Interuniversitaire de Biologie de la Motricité	-1.7731	-1.8922	145	3	3	1	2025.0		
395	State University of Malang	-2.1259	-1.0099	126	4	4	1	2025.0		
396	Sebelas Maret University	-2.3521	-1.1377	126	4	4	1	2025.0		
397	Politeknik Kesehatan Kemenkes Semarang	-2.2659	-1.0262	126	4	4	1	2025.0		
398	State University of Semarang	-2.1905	-1.1596	126	4	4	1	2025.0		
399	University of Minho	-1.5658	-1.7664	146	2	2	2	2020.5		
400	Osun State University	1.0556	2.0351	38	1	1	1	2025.0		
401	King Faisal University	-1.4956	-1.8013	147	5	5	1	2024.0		
402	Applied Science Private University	-1.1365	-2.1218	147	5	5	1	2024.0		
403	Middle East University	-1.3223	-2.3289	147	5	5	1	2024.0		
404	Ajman University	-1.5938	-2.2721	147	5	5	1	2024.0		
405	Al-Hussein Bin Talal University	-1.2242	-1.8582	147	5	5	1	2024.0		
406	University of Business and Technology	-1.6815	-2.0085	147	5	5	1	2024.0		
407	University of Klagenfurt	-1.571	-1.8866	148	1	1	1	2022.0		
408	University of Zimbabwe	-1.1295	-2.3214	148	1	1	1	2022.0		
409	Sunan Kalijaga State Islamic University Yogyakarta	-1.5112	-1.9238	149	1	1	1	2025.0		
410	King Mongkut's Institute of Technology Ladkrabang	-1.0697	-2.3586	149	1	1	1	2025.0		
411	Ibero American University	-1.2865	2.0246	82	1	1	2	2018.0		
412	State University of Management	-1.4503	-1.9593	150	1	1	1	2026.0		
413	California State University System	-1.0089	-2.3941	150	1	1	1	2026.0		
414	Yuan Ze University	-1.2453	-2.2071	151	0	0	1	2026.0		
415	Roskilde University	-1.1582	-2.2188	152	0	0	1	2025.0		
416	Universiti Tenaga Nasional	1.7463	2.0938	35	1	1	1	2025.0		
417	Konan University	-1.0874	-2.1953	153	0	0	1	2020.0		
418	Universidade Federal do ABC	-0.5381	2.3041	64	2	2	1	2025.0		
419	University of Stavanger	-1.0162	-2.3173	154	0	0	1	2026.0		
420	Universitätsmedizin Göttingen	-0.8241	-2.1412	155	2	2	1	2025.0		
421	University of Turku	-0.9083	-2.371	155	3	3	3	2025.33		
422	University of Göttingen	-1.0285	-2.1578	155	2	2	1	2025.0		
423	Shanghai Jiao Tong University	-0.945	-2.0943	156	2	2	1	2025.0		
424	Université de Strasbourg	-0.5726	-2.3958	156	2	2	1	2025.0		
425	Asian Development Bank Institute	-1.0199	-2.5675	156	2	2	1	2025.0		
426	Shanghai University of Finance and Economics	-0.7386	-2.437	157	0	0	1	2023.0		
427	University of Education Freiburg	-0.7572	-2.1904	158	4	4	1	2025.0		
428	Ludwigsburg University of Education	-0.6619	-2.4697	158	5	5	4	2025.0		
429	Uniwersytet Komisji Edukacji Narodowej w Krakowie	-0.8424	-2.4195	158	4	4	1	2025.0		
430	HAN University of Applied Sciences	-0.6442	-2.2843	158	4	4	1	2025.0		
431	Cracow University of Technology	-0.8853	-2.2796	158	4	4	1	2025.0		
432	Juntendo University	-0.6328	-2.3502	159	0	0	1	2025.0		
